iter	Passed	Remaining
0	1	347
1	2	335
2	3	358
3	4	329
4	5	300
5	6	282
6	7	268
7	7	255
8	8	246
9	9	240
10	9	234
11	10	226
12	11	222
13	11	216
14	12	214
15	13	210
16	13	209
17	14	206
18	15	202
19	16	203
20	16	200
21	17	205
22	18	204
23	19	203
24	20	200
25	20	197
26	21	195
27	22	194
28	22	191
29	23	191
30	24	189
31	24	187
32	25	185
33	26	184
34	27	184
35	27	182
36	28	182
37	29	182
38	30	181
39	31	181
40	33	187
41	33	187
42	35	188
43	36	189
44	37	189
45	38	188
46	39	188
47	39	188
48	40	187
49	41	186
50	42	185
51	43	184
52	44	183
53	44	182
54	45	181
55	46	180
56	47	181
57	48	180
58	49	178
59	49	177
60	50	176
61	51	175
62	51	173
63	52	172
64	53	171
65	54	170
66	54	168
67	55	167
68	55	166
69	56	164
70	57	163
71	58	164
72	59	163
73	60	162
74	60	161
75	61	159
76	62	159
77	63	158
78	64	158
79	64	157
80	65	156
81	66	155
82	67	154
83	67	153
84	68	152
85	69	152
86	70	151
87	71	150
88	72	151
89	73	151
90	75	151
91	76	151
92	77	150
93	78	149
94	79	149
95	79	148
96	80	147
97	81	146
98	81	144
99	82	143
100	83	142
101	83	141
102	84	140
103	85	140
104	86	139
105	87	138
106	88	137
107	88	136
108	89	135
109	90	134
110	90	133
111	91	132
112	92	131
113	93	130
114	93	129
115	94	128
116	95	127
117	95	126
118	96	125
119	97	124
120	98	123
121	98	122
122	99	122
123	100	121
124	100	120
125	101	119
126	102	118
127	102	117
128	103	116
129	104	115
130	105	114
131	106	114
132	106	113
133	107	112
134	108	111
135	108	110
136	109	109
137	110	108
138	110	107
139	111	106
140	112	105
141	112	104
142	113	104
143	114	103
144	115	102
145	116	101
146	117	101
147	118	100
148	119	99
149	119	99
150	120	98
151	121	97
152	122	97
153	123	96
154	124	95
155	125	94
156	125	93
157	126	93
158	127	92
159	128	91
160	129	90
161	131	90
162	131	89
163	132	88
164	133	87
165	133	87
166	134	86
167	135	85
168	136	84
169	136	83
170	137	82
171	138	82
172	139	81
173	139	80
174	140	79
175	141	78
176	142	77
177	142	76
178	143	76
179	144	75
180	144	74
181	145	73
182	146	72
183	146	71
184	147	70
185	148	70
186	148	69
187	149	68
188	150	67
189	151	66
190	152	66
191	153	65
192	153	64
193	154	63
194	155	62
195	155	61
196	156	61
197	157	60
198	158	59
199	159	59
200	160	58
201	162	57
202	162	56
203	163	56
204	164	55
205	164	54
206	165	53
207	166	52
208	166	51
209	167	51
210	168	50
211	169	49
212	169	48
213	170	47
214	171	46
215	171	46
216	172	45
217	173	44
218	173	43
219	174	42
220	175	42
221	175	41
222	176	40
223	177	39
224	177	38
225	178	37
226	178	37
227	179	36
228	180	35
229	180	34
230	181	33
231	182	32
232	182	32
233	183	31
234	184	30
235	184	29
236	185	28
237	185	28
238	186	27
239	187	26
240	187	25
241	188	24
242	189	24
243	189	23
244	190	22
245	191	21
246	191	20
247	192	20
248	192	19
249	193	18
250	195	17
251	196	17
252	197	16
253	197	15
254	198	14
255	199	14
256	200	13
257	200	12
258	201	11
259	201	10
260	202	10
261	203	9
262	204	8
263	205	7
264	206	6
265	206	6
266	207	5
267	208	4
268	209	3
269	210	3
270	210	2
271	211	1
272	212	0
273	213	0
